;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;;Rótulos de Linha;Soma de Unit price;Soma de Quantity;Soma de Tax 5%;Soma de Total;Soma de cogs;Soma de gross margin percentage;Soma de gross income;Soma de Rating
0;750-67-8428;A;Yangon;Member;Female;Health and beauty;74,69;7;26,1415;548,9715;01/05/2019;13:08;Ewallet;522,83;4,761904762;26,1415;9,1;;101-17-6199;45,79;7;16,0265;336,5565;320,53;4,761904762;16,0265;7
1;226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;15,28;5;3,82;80,22;03/08/2019;10:29;Cash;76,4;4,761904762;3,82;9,6;;A;45,79;7;16,0265;336,5565;320,53;4,761904762;16,0265;7
2;631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;46,33;7;16,2155;340,5255;03/03/2019;13:23;Credit card;324,31;4,761904762;16,2155;7,4;;Yangon;45,79;7;16,0265;336,5565;320,53;4,761904762;16,0265;7
3;123-19-1176;A;Yangon;Member;Male;Health and beauty;58,22;8;23,288;489,048;1/27/2019;20:33;Ewallet;465,76;4,761904762;23,288;8,4;;Male;45,79;7;16,0265;336,5565;320,53;4,761904762;16,0265;7
4;373-73-7910;A;Yangon;Normal;Male;Sports and travel;86,31;7;30,2085;634,3785;02/08/2019;10:37;Ewallet;604,17;4,761904762;30,2085;5,3;;Normal;45,79;7;16,0265;336,5565;320,53;4,761904762;16,0265;7
5;699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;85,39;7;29,8865;627,6165;3/25/2019;18:30;Ewallet;597,73;4,761904762;29,8865;4,1;;Food and beverages;45,79;7;16,0265;336,5565;320,53;4,761904762;16,0265;7
6;355-53-5943;A;Yangon;Member;Female;Electronic accessories;68,84;6;20,652;433,692;2/25/2019;14:36;Ewallet;413,04;4,761904762;20,652;5,8;;3/13/2019;45,79;7;16,0265;336,5565;320,53;4,761904762;16,0265;7
7;315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;73,56;10;36,78;772,38;2/24/2019;11:38;Ewallet;735,6;4,761904762;36,78;8;;19;45,79;7;16,0265;336,5565;320,53;4,761904762;16,0265;7
8;665-32-9167;A;Yangon;Member;Female;Health and beauty;36,26;2;3,626;76,146;01/10/2019;17:15;Credit card;72,52;4,761904762;3,626;7,2;;101-81-4070;62,82;2;6,282;131,922;125,64;4,761904762;6,282;4,9
9;692-92-5582;B;Mandalay;Member;Female;Food and beverages;54,84;3;8,226;172,746;2/20/2019;13:27;Credit card;164,52;4,761904762;8,226;5,9;;C;62,82;2;6,282;131,922;125,64;4,761904762;6,282;4,9
10;351-62-0822;B;Mandalay;Member;Female;Fashion accessories;14,48;4;2,896;60,816;02/06/2019;18:07;Ewallet;57,92;4,761904762;2,896;4,5;;Naypyitaw;62,82;2;6,282;131,922;125,64;4,761904762;6,282;4,9
11;529-56-3974;B;Mandalay;Member;Male;Electronic accessories;25,51;4;5,102;107,142;03/09/2019;17:03;Cash;102,04;4,761904762;5,102;6,8;;Female;62,82;2;6,282;131,922;125,64;4,761904762;6,282;4,9
12;365-64-0515;A;Yangon;Normal;Female;Electronic accessories;46,95;5;11,7375;246,4875;02/12/2019;10:25;Ewallet;234,75;4,761904762;11,7375;7,1;;Member;62,82;2;6,282;131,922;125,64;4,761904762;6,282;4,9
13;252-56-2699;A;Yangon;Normal;Male;Food and beverages;43,19;10;21,595;453,495;02/07/2019;16:48;Ewallet;431,9;4,761904762;21,595;8,2;;Health and beauty;62,82;2;6,282;131,922;125,64;4,761904762;6,282;4,9
14;829-34-3910;A;Yangon;Normal;Female;Health and beauty;71,38;10;35,69;749,49;3/29/2019;19:21;Cash;713,8;4,761904762;35,69;5,7;;1/17/2019;62,82;2;6,282;131,922;125,64;4,761904762;6,282;4,9
15;299-46-1805;B;Mandalay;Member;Female;Sports and travel;93,72;6;28,116;590,436;1/15/2019;16:19;Cash;562,32;4,761904762;28,116;4,5;;12;62,82;2;6,282;131,922;125,64;4,761904762;6,282;4,9
16;656-95-9349;A;Yangon;Member;Female;Health and beauty;68,93;7;24,1255;506,6355;03/11/2019;11:03;Credit card;482,51;4,761904762;24,1255;4,6;;102-06-2002;25,25;5;6,3125;132,5625;126,25;4,761904762;6,3125;6,1
17;765-26-6951;A;Yangon;Normal;Male;Sports and travel;72,61;6;21,783;457,443;01/01/2019;10:39;Credit card;435,66;4,761904762;21,783;6,9;;C;25,25;5;6,3125;132,5625;126,25;4,761904762;6,3125;6,1
18;329-62-1586;A;Yangon;Normal;Male;Food and beverages;54,67;3;8,2005;172,2105;1/21/2019;18:00;Credit card;164,01;4,761904762;8,2005;8,6;;Naypyitaw;25,25;5;6,3125;132,5625;126,25;4,761904762;6,3125;6,1
19;319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;40,3;2;4,03;84,63;03/11/2019;15:30;Ewallet;80,6;4,761904762;4,03;4,4;;Male;25,25;5;6,3125;132,5625;126,25;4,761904762;6,3125;6,1
20;300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;86,04;5;21,51;451,71;2/25/2019;11:24;Ewallet;430,2;4,761904762;21,51;4,8;;Member;25,25;5;6,3125;132,5625;126,25;4,761904762;6,3125;6,1
21;371-85-5789;B;Mandalay;Normal;Male;Health and beauty;87,98;3;13,197;277,137;03/05/2019;10:40;Ewallet;263,94;4,761904762;13,197;5,1;;Sports and travel;25,25;5;6,3125;132,5625;126,25;4,761904762;6,3125;6,1
22;273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;33,2;2;3,32;69,72;3/15/2019;12:20;Credit card;66,4;4,761904762;3,32;4,4;;3/20/2019;25,25;5;6,3125;132,5625;126,25;4,761904762;6,3125;6,1
23;636-48-8204;A;Yangon;Normal;Male;Electronic accessories;34,56;5;8,64;181,44;2/17/2019;11:15;Ewallet;172,8;4,761904762;8,64;9,9;;17;25,25;5;6,3125;132,5625;126,25;4,761904762;6,3125;6,1
24;549-59-1358;A;Yangon;Member;Male;Sports and travel;88,63;3;13,2945;279,1845;03/02/2019;17:36;Ewallet;265,89;4,761904762;13,2945;6;;102-77-2261;65,31;7;22,8585;480,0285;457,17;4,761904762;22,8585;4,2
25;227-03-5010;A;Yangon;Member;Female;Home and lifestyle;52,59;8;21,036;441,756;3/22/2019;19:20;Credit card;420,72;4,761904762;21,036;8,5;;C;65,31;7;22,8585;480,0285;457,17;4,761904762;22,8585;4,2
26;649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;33,52;1;1,676;35,196;02/08/2019;15:31;Cash;33,52;4,761904762;1,676;6,7;;Naypyitaw;65,31;7;22,8585;480,0285;457,17;4,761904762;22,8585;4,2
27;189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87,67;2;8,767;184,107;03/10/2019;12:17;Credit card;175,34;4,761904762;8,767;7,7;;Male;65,31;7;22,8585;480,0285;457,17;4,761904762;22,8585;4,2
28;145-94-9061;B;Mandalay;Normal;Female;Food and beverages;88,36;5;22,09;463,89;1/25/2019;19:48;Cash;441,8;4,761904762;22,09;9,6;;Member;65,31;7;22,8585;480,0285;457,17;4,761904762;22,8585;4,2
